,content
2329,　　新京報訊 （記者張潔）近日，中國汽車技術研究中心發佈中國生態汽車評價（C-ECAP）新一批評價結果。本批發布的兩款車型分別是長安馬自達新Mazda3 AXELA 昂克賽拉，以及奇瑞瑞虎7，得分分別為89.87分和81.31分。本批發布的兩款車型，在車內空氣質量、車內噪聲、有害物質以及尾氣排放上的得分率都較高，在車內噪聲和尾氣排放分值上還獲得了滿分。
2330,"　　,中新網,5月8日電 近日，“奔跑吧 瑞虎7！我是車手挑戰營”活動在北京正式打響，該活動從即日起將歷時3個月在全國10個城市相繼舉行，它是瑞虎7 SPORT為挑戰潛能、超越極限的主流消費群體傾力打造的產品體驗平臺。"
2331,　　據悉，奇瑞進入戰略轉型2.0階段以來，圍繞全新品牌內核“Fun To Drive”的核心任務是圍繞年輕一代消費者打造差異化的客戶體驗，基於此構建了圍繞年輕人的全新溝通體系，包括娛樂化溝通平臺、產品體驗平臺、粉絲互動口碑擴散平臺、數字化營銷平臺四大平臺。其中通過“娛樂化溝通平臺”，《奔跑吧》熒屏上出現了瑞虎7靚麗的身影；另一個就是開啟的“產品體驗平臺”——“奔跑吧瑞虎7 我是車手挑戰營”。
2332,"　　作為奇瑞戰略2.0下的旗艦SUV,瑞虎7自上市起憑藉優良的產品實力獲得了廣大消費者的認可，產品口碑遙遙領先。在4月17日推出的瑞虎7 SPORT是專為對“運動”+“品質”有著更高需求的年輕人而生，有著“SUV駕控專家”的差異化競爭優勢，包括全新運動的造型、“世界級”的動總和安全配備三大產品優勢：更運動化的內外飾設計、19寸輪轂；世界級的1.5T+DCT動力總成帶來37.1%熱效率和6.3L的百公里油耗；緊湊型SUV專業平臺——T1X平臺，同時底盤進行運動化調校；主動和被動安全性能，車身一體化籠式高強度鋼用量超過60%，配備LDW車道偏離預警、BSD盲點監測預警、LCA行駛變道輔助、RCTA後方交叉碰撞預警等系統。瑞虎7在2016年10月首次公開“三車連環追尾”安全碰撞測試，測試結果遠優於法規標準。在2017年4月C-ECAP汽車生態評價中，瑞虎7又以81.31分的SUV最高分榮獲金牌評價，成為通過“綠色認證的SUV第一名”；品質可靠性上，目前奇瑞3MISIPTV僅為20，再一次驗證了瑞虎7卓越的駕駛品質、領先的環保品質和優異的可靠性品質的產品形象。"
2333,　　“我是車手挑戰營”活動是奇瑞2017年在體驗營銷上的又一創新與嘗試。活動亮點上，結合了瑞虎7今年兩大品牌動作——“奔跑吧”和“COC”(中國汽車場地越野錦標賽)。一方面，都是年輕人最喜愛的活動形式，同時也體現了年輕人積極向上、努力拼搏的價值觀。另一方面，活動現場不僅可以看到《奔跑吧》節目中瑞虎7的精彩一幕，也有“跑男”明星零距離接觸。還有模擬COC駕駛的專業賽車道，COC專業培訓，以及“雲霄飛車”、“錯落有致”、“再起波瀾”等競賽式駕駛體驗，讓全國的消費者體驗瑞虎7的卓越品質。活動獲勝的前10名挑戰者不僅將獲得免費專業越野賽車駕駛培訓和中汽聯頒發專業賽車駕照，還將有機會前往2017年COC全國場地越野拉力賽，與職業車手同場競技，享受賽車運動的極限激情。最終冠軍車手將獲得瑞虎7 SPORT 10年免費使用權。
2334,"　　,中新網,5月8日電 7日，“生而自由——RAV4榮放23週年生日趴”在一汽豐田北京城市越野公園舉行。活動現場，一汽豐田汽車銷售有限公司總經理姜君、常務副總經理水谷雅史、副總經理井口一成、副總經理劉振國等多位領導與RAV4榮放形象代言人趙又廷以及來自全國的近50位車主共同見證了這一榮耀時刻。與此同時，本次活動還與全國經銷商進行聯動，讓近萬名無法到達現場的車主也能參與其中，共同為RAV4 榮放23週年慶生。"
2335,　　豐田車型一直以來都是全球汽車銷量榜TOP10的常客，RAV4榮放作為豐田旗下的戰略車型，截至目前已經為全球超過730萬的車主提供了來自時代前沿的產品體驗，並得到了他們的高度認可。而經過全面升級後的RAV4榮放再度得到了中國消費者的認可。據統計，RAV4榮放新車型自去年7月28日上市以來，以全新的外觀、動力以及配置繼續成為引領都市SUV發展潮流的標杆。從月銷8000臺快速增長到今天的月銷13000臺，累計銷量已超過10萬臺。
2336,　　外觀方面，RAV4榮放採用豐田最新進化版Keen Look前臉設計，彰顯出年輕運動、引領時尚活力的獨特個性。動力方面，RAV4榮放搭載了專門為其設計的2.0L VALVEMATIC發動機，該發動機採用連續可變氣門升程和可變正時機構，配合Smart & Stop智能節油啟停裝置，可使綜合油耗降低約12%。同時，RAV4榮放搭載了配有DTC動態扭矩分配控制系統的4WD系統，並且在SPORT運動模式下，DTC-4WD系統可自動提高部分扭矩輸出至後輪，配合轉向系統的輔助，營造車隨心動的暢快體驗。
2337,　　配置方面，RAV4榮放不僅全系標配VSC+系統、HAC上坡輔助控制系統等，還首次搭載了Toyota Safety Sense智行安全，該套裝包括預碰撞安全系統(PCS)、動態雷達巡航控制系統(DRCC)、車道偏離警示系統(LDA)和自動調節遠光燈系統(AHB)四大安全先進技術，為用戶提供全方位的安全呵護。
2338,　　據悉，豐田於1994年正式推出了第一代RAV4榮放，一款既可以滿足郊遊的裝載能力、越野需求，同時又具備一定舒適性、經濟性和操控性的城市SUV。在此後的23年間，RAV4榮放車型歷經四代更迭，並先後銷往美國(1996年)、中國(2009年正式國產)乃至全球，不斷擴大它的影響力。在北美，RAV4榮放一直是“休旅出行”的首選車型之一；在中國，自2009年國產以來，RAV4榮放已經收穫了超過80萬名中國車主的信賴；在全球，RAV4榮放獲得超過730萬車主的認可。RAV4榮放的開創性以及對自由生活的無限追求，讓它在全電動、混合動力、內燃機動力的各種都市四驅車領域一直是業界標杆。
2339,　　在活動當天，為慶祝城市越野體驗項目——一汽豐田城市越野公園的成立，一汽豐田送出了1萬張城市越野公園體驗券，讓廣大車主帶著家人朋友一起來體驗RAV4榮放。城市越野公園把豐田越野世家獨有的商品魅力和多元汽車生活傳遞給每個消費者，通過模擬真實的戶外用車場景，為RAV4榮放量身定製越野科目，充分的向消費者展現其同級別最為出色的越野性能。目前，一汽豐田擁有10個城市越野公園、2個大型全車系體驗營，未來還將繼續增加，以滿足更多消費者的需求。
2340,"　　,中新網,5月8日電 5月6日，e起樂享駕趣升級帝豪EV300 千人聚惠嘉年華在北京圓滿落幕。吉利新能源汽車銷售有限公司北京大區營銷售總監劉欣、市場部部長尹世清等嘉賓出席活動。在北京吉利新能源富電4S店、瑞意達4S店、龐大龍騰4S店嘉賓以及近千位消費者的見證下，帝豪EV300完成90分鐘銷售828輛的成績，再一次用銷量認證了EV300同級別車型首選的地位與實力。"
2341,"　　,購車首選政策給力雙重優惠"
2342,　　作為一款頗受關注的純電動車型，帝豪EV300共推出進取型、精英型、尊貴型三款車型，官方售價分別為19.48萬元、20.58萬元、21.58萬元，以北京地區為例，在補貼之後，在北京的實際售價分別為12.88萬元、13.98萬元、14.98萬元。加之產品本身的性能配置，性價比相較細分市場其他產品更高，無疑是日常代步使用的最佳選擇。
2343,　　據瞭解，僅5月6日活動當天，帝豪EV300，90分鐘便已簽約銷售828輛，一位現場簽約的準帝豪EV300車主向記者透露：“由於北京購車限號政策，純電動車型已經成為身邊的朋友們買車時的第一選擇，之所以選擇吉利帝豪EV300，一方面是由於這款車型去年的銷量和好評，另一方面，也是出於經濟層面的考慮，吉利新能源這次千人團購會的購車優惠政策還是比較給力的。”
2344,"　　,實力矚目帝豪EV300表現不凡"
2345,　　作為2016年純電動單車型銷量冠軍，帝豪EV300在不到9個月的時間裡完成了1.7萬輛的銷量，成為國內純電動車市場的領軍車型。2017年，依託吉利母品牌的全面崛起之勢，帝豪EV300以全面升級之姿矚目登場，充分證明了吉利整體品牌向上的實力。
2346,　　在續航、電池壽命、充電效率等方面，帝豪EV300以吉利藍色戰略作為支撐，集吉利新能源技術之大成，採用三元鋰電池，帝豪EV300在41千瓦時的電池組，實現綜合工況續航里程300公里、60公里/小時勻速狀態續航360公里的提升。此外，帝豪EV300還提供Eco經濟模式+Sport運動模式雙模駕駛，享受駕趣更加隨心所欲。
2347,　　同時，在消費者較為關注的新能源汽車電池壽命受溫度變化和功耗影響，從而縮短續航里程這一問題上，帝豪EV300通過一系列技術革新大大地給予改善。通過吉利首創ITCS電池智能溫控管理系統，全新匹配的ITCS電池控制系統，具備“動力電池低溫預熱功能”，可有效實現低溫預熱和高溫冷卻，提升動力電池的充放電效率，進一步延長動力電池使用壽命，並實現了-20℃快速充電，-30℃車輛仍可正常使用。同時，通過把大測試和八大管理策略，確保電池性能和電路系統穩定，安全無憂。
2348,　　充電效率方面，帝豪EV300快充45分鐘電量便可達到80%，真正做到想充就充，隨充隨走，除此之外，慢充7小時等5大充電模式也滿足了不同車主的駕車需求。
2349,　　相信全新帝豪EV300憑藉其過硬的產品實力、超高的性價比以及2016年奠定的市場基石，必將成為中國新能源車市場上不可或缺的明星產品。
2350,　　帝豪EV300憑藉著產品實力的全面提升、頗具誠意的促銷優惠政策以及2016年打下的良好口碑，吉利帝豪EV300今年銷量依舊會保持強勢，成為2017年電動車行中最不容小覷的一顆明星。
2351,"　　,中新網,5月8日電 8日，首汽約車與斯巴魯戰略合作新聞發佈會在北京舉行。雙方在新聞發佈會上宣佈，自五月中旬起斯巴魯將投放其全新車型新力獅在首汽約車平臺運營。據悉，雙方的此次合作，開啟了網約車新政落地後，網約車平臺與汽車廠商之間的合作先河，同時也為汽車廠商與網約車平臺之間的合作打造了一個範本。"
2352,　　現如今，網約車已經成為人們日常生活中不可或缺的出行方式，隨著各地網約車新政的陸續出臺，在規範了整個網約車行業的同時，也讓整個行業更加有序、健康的發展。
2353,　　合規之後，尋找新的增長點，成為首汽約車積極探索的方向。和網約車行業關係最緊密的汽車行業，也順理成章的成為最先試水的“試驗田”。
2354,"　　,攜手共贏 打造網約車平臺與汽車品牌營銷範本"
2355,　　據瞭解，新政下的網約車行業已經進入了2.0時代，低價、無序競爭的時代已經結束，用戶對服務及品質的要求更為苛刻。首汽約車成立伊始的定位就是提供中高端網約車服務，因其高品質的服務體驗，不管是用戶粘性還是活躍度始終在網約車行業中名列前茅。除此之外，首汽約車的上線運營始終得到了官方的認可，另外，首汽約車的人群定位和斯巴魯新力獅的潛在客戶群重合度極高，這也成為雙方合作水到渠成的重要原因。
2356,　　此次合作，對於雙方來講首汽約車與斯巴魯以及用戶來說可謂多贏，對於上海、廣州、大連、青島等四個城市的用戶來說，可第一時間在首汽約車平臺體驗到斯巴魯配備了先進預防安全技術EyeSight駕駛輔助系統的新款力獅車型，讓更多客戶體驗到更為安心安全的日常用車體驗。
2357,　　而且對於斯巴魯，此次與首汽約車達成合作則可以為自身的品牌帶來持續性曝光。而首汽約車也將因為高性能、高安全性車型的投入給用戶帶來更好的乘車體驗。
2358,　　以往，傳統的新車上市試乘試駕相關活動，往往需要花費很大地精力去獲取活動目標用戶，同時也極大限度的受到場地和時間的制約。現如今，用戶只要打開首汽約車App，就可以體驗到斯巴魯的最新車型，極大的降低了體驗成本，同時斯巴魯也將獲取一個高質量的潛在用戶。
2359,　　據悉，合作期間將至少有50000名首約用戶體驗到斯巴魯新力獅。不僅如此，該車型內，還專門配備了IPAD介紹產品信息，相關司機也經過專業培訓，在服務的過程中還能為有需要的用戶講解全新力獅的種種亮點，相當於每一次的乘車過程，都進行了一次短暫的營銷活動。
2360,"　　,首汽約車加速佈局  引領網約車行業變革"
2361,　　2015年9月正式上線的首汽約車，經過近2年的開疆拓土，完成了全國37個城市的線下佈局，全平臺累計註冊用戶超2000萬，全國合規車輛保有量達25000輛，月活躍用戶240萬，日完成訂單量50餘萬。同時除提供常見的即時叫車、預約叫車及接送機服務外，首汽約車還推出了多日接送、無障礙車型(網約多功能車)、定派分離(代入叫車)、指定司機這四大特色產品，以滿足不同人群的多樣化出行需求，極大地擴展了其目標客戶群體的數量，也奠定了其在網約車行業的地位。
2362,　　伴隨著各地網約車新政的陸續出臺，首汽約車率先成為三證齊全的網約車平臺。截止至今日，首汽約車在北京、杭州、瀋陽、常州、大連、青島、溫州、深圳、南京、寧波、福州、蘇州、貴陽、崑山、鞍山等15個城市已經取得了當地的網約車相關經營資質，其中11個城市還是當地的001號線下服務能力認證，這些證書讓首汽約車成為目前為止國內最合規、最專業的網約車平臺。
2363,　　發佈會上，首汽約車CMO胡緒雷提到，“此次合作，我們認為是整個汽車服務市場的升級迭代。從傳統的線下、線下到線上，向線上到線下再到線上模式的轉型。首批投入運營的斯巴魯力獅車將以合規網約身份車進入首汽約車網約車服務平臺。”
2364,　　未來首汽約車將藉由自身資源，和更多的品牌一起開展合作和跨界整合，與所有合作伙伴實現共贏，共同促進網約車行業發展，讓每個用戶都能擁有高品質、高效率的出行體驗。
2365,"　　,中新網,5月8日電  8日，斯巴魯汽車(中國)有限公司與首汽約車戰略合作簽約新聞發佈會在京舉行。從簽約之日起，由斯巴魯提供的20輛2017款Legacy力獅將進入首汽約車的服務用車行列。今後，在大連、青島、上海、廣州四個城市使用“首汽約車”服務的乘客將有機會體驗到斯巴魯旗下這一配備 EyeSight駕駛輔助系統的最新車型所能提供的安心、安全的出行享受。"
2366,　　據瞭解，斯巴魯汽車努力為所有使用者提供“安心與愉悅”的駕乘體驗，為此在以左右對稱全時四輪驅動系統(Symmetrical AWD)、水平對置發動機(SUBARU BOXER)等獨特汽車技術實現出色的安全性能和行駛性能的同時，還不斷通過創新性技術來提升車輛的安全性能。在斯巴魯為首汽約車提供的20輛最新款Legacy力獅車型上，都配備了先進預防安全技術——EyeSight駕駛輔助系統。
2367,　　這一系統採用兩個模擬人眼的立體攝像頭來監測車輛前方的路況和車流信息，通過防碰撞制動系統(PCB)、全車速自適應巡航控制系統(ACC)、起步油門誤操作預防功能、警報與提示四大功能，有效減少追尾和涉及行人的車輛行駛事故，為斯巴魯汽車實現了安全升級。目前，斯巴魯最新上市的2017款Legacy力獅和Outback傲虎都已經配備了EyeSight駕駛輔助系統。藉助首汽約車這一平臺，斯巴魯將幫助更多中國消費者感受EyeSight駕駛輔助系統帶來的更為安全的日常用車體驗。
2368,　　作為三證齊全的網約車平臺，首汽約車目前已經實現37個城市的線下佈局，截止至今日，已經在北京、杭州、常州等15個城市取得了當地的網約車相關經營資質，其中11個城市還是當地的001號線下服務能力認證。此次斯巴魯與之開展戰略合作後，首汽約車將以更為豐富的車型增強服務團隊，以更為安全的車輛提升服務品質，能夠進一步為客戶提供差異化、高端化的用車服務。
2369,　　據悉，斯巴魯此次以提供用車的形式首次與網約車企業進行合作，使旗下高性能和高安全性的車型參與公共出行服務，將有助於推動中國出行服務的多樣化發展和品質提升，同時也將使更多中國消費者在使用網約車出行的過程中實際感受斯巴魯車型所擁有的安全、舒適的駕乘樂趣。
2370,"　　,中新網,5月8日電 8日，易到正式獲得由北京市交通委頒發的《網絡預約出租車汽車經營許可證》，通過了網約車經營線上服務能力認定。申請主體為北京東方車雲信息技術有限公司，經營範圍為網絡預約出租汽車客運，有效期四年。"
2371,　　這是北京市向民營網約車平臺，也是C2C平臺發放的首張網約車牌照。這一牌照的獲得，意味著易到或將迅速擺脫目前的資金難題，融資或將加速完成，若成，司機提現和用戶叫車的問題將迎刃而解。易到將迎來自身發展史上又一場歷史轉折和“絕地重生”。
2372,　　北京首張C2C牌照含金量重 掃清後續融資障礙
2373,　　易到此次獲得的網約車牌照，是北京市向C2C網約車平臺發放的首張網約車牌照。
2374,　　2016年7月，交通運輸部等七部委聯合發佈了《網絡預約出租汽車經營服務管理暫行辦法》。該《暫行辦法》規定，申請從事網約車經營的平臺，應當具備線上線下服務能力。這意味著，易到平臺所獲得的網約車線上服務能力認定，可在全國範圍內通用。
2375,　　依據相關文件，獲得網約車運營牌照必須經歷7個部門大考，包括市交通委運輸管理局、市通信局、市公安局、人民銀行營業管理部、市國稅局、市地稅局和市網信辦。北京是網約車行業最重要的市場之一，也是資質審查最嚴格的地區之一，因此易到獲得的這張網約車牌照頗具含金量。
2376,　　此次獲得網約車牌照進入合法運營階段，意味著易到在融資過程中受到的網約車政策層面的障礙已基本掃清，易到在融資方面將取得較大進展，那麼易到所面臨的資金緊張問題或將在短期之內得到解決。
2377,　　目前，易到已按照《暫行辦法》和各地網約車新政要求，相繼在各地有序落實相關規定。隨著易到新的核心管理層集體到任，未來易到也將圍繞專車業務作出重大調整，開啟全新的發展戰略。
2378,　　司機、用戶權益獲保障 差異化深耕中高端市場
2379,　　業界普遍認為，隨著過渡期的結束和新政的全面執行，網約車行業將告別燒錢競爭的野蠻生長，優質服務將成為網約車平臺之間的核心競爭力，而現有的行業市場格局將被打破，行業競爭的新規則也正在被重新書寫。作為國內網約車市場的開創者，歷經七年發展和沉澱後，正式獲得牌照的易到也將借行業重新洗牌之機，又一次與競爭對手站在同一起跑線上，獲得歷史性的發展機會。
2380,　　成立於2010年5月的易到，就目前專車服務已覆蓋全國190座主流城市，擁有超過600萬註冊司機和4000萬註冊用戶。易到始終堅持“高品質、差異化發展”的品牌定位，這與網約車新政“高品質服務、差異化經營”的要求相契合。而“高素質乘客、高素質司機、高品質車輛”的良好口碑和所佔市場份額，也使得易到成為網約車中高端出行重要品牌之一。
2381,　　易到表示，此次網約車牌照的獲得，將使得易到廣大司機和用戶的信心得到提振，隨著融資的快速解決，司機和用戶的利益均將得到有效保障，司機提現問題將在5月份得到解決，服務質量將迅速回升提高。
2382,　　易到模式獲認可 推動用車市場健康發展
2383,　　一段時間以來，外界充斥著對於易到資金和經營的負面消息，使得輿論、司機和用戶對於易到的未來充滿了憂慮和不安。不過，從此次北京首張C2C牌照花落易到來看，易到的優秀基因和模式獲得了認可和鼓勵。
2384,　　北京是網約車行業最重要的市場之一，獲髮網約車牌照對易到意義重大。這既是監管部門對易到各項業務的認可，也有對易到平臺更高的要求。
2385,　　目前，易到在申請北京市相關資質的同時，已按照《暫行辦法》和各地網約車新政要求，相繼在各地有序落實相關規定。隨著易到新的核心管理層集體到任，未來易到也將圍繞專車業務作出重大調整，開啟全新的發展戰略。
2386,　　根據全國乘聯會數據，1-3月乘用車零售銷量同比減少1.7%。汽車銷售市場競爭日益嚴峻，拓展更有效的營銷交易渠道、創新商業模式，成為汽車廠商、經銷商面臨的重要課題。5月7日剛剛結束的汽車之家瘋狂購車節春季線下車展，完成了13111輛車的成交量，並進一步實現了技術和資源的雙管齊下，包括經銷商全景展廳、中國平安百萬代理人助力等。汽車互聯網平臺在技術和資源領域持續發力，助力經銷商賣車。
2387,　　春季線下車展落地北京、上海、天津、武漢、成都等全國45個城市，共吸引了98個汽車品牌、1230家經銷商參與，共同攜手汽車之家為消費者提供可靠、實惠、便捷的產品和服務。
2388,　　汽車之家副總裁、經銷商事業部總經理吳濤說，“在業務上我們的策略是雙引擎驅動，追求最好的用戶體驗，並實現客戶價值最大化。通過新技術應用、擴大與優質商家合作等，來為用戶提供更便捷、可靠的產品和服務；在客戶端，通過提供智能服務、增加數據產品、優質資源聯動等方式，為經銷商夥伴在日益嚴峻的市場競爭中贏得先機。”
2389,　　發揮數據技術創新能力，調動大股東優勢資源，汽車之家生態圈發展走出一條獨特路徑。在去年11.11瘋狂購車節中，線上促銷、線下車展聯動，實現了汽車之家交易價值的最大化，最終完成了近10萬輛汽車的成交，同比增長182%。在此次春季線下車展中，汽車之家繼續在技術上發力，通過幫助經銷商打造全景展廳等方式，促進交易。此前在線下車展中，消費者往往只能看到現場陳列出來的汽車，本次車展汽車之家通過前期影像素材的收集、後期技術處理，消費者只要用手機在展會現場掃描二維碼，就能夠進入針對某一經銷商的“全景展廳”，輕鬆在手機屏幕上進出4S店、瀏覽店內展示的汽車等，實現手機逛店，大大提升消費者選車、逛店的效率。
2390,　　除此之外，汽車之家還繼續強化在資源方面的投入和聯動，大股東平安集團的百萬保險代理人蔘與到車展的集客和促銷中來，挖掘和引導平安保險客戶的購車需求，汽車之家購車場景從專業媒體覆蓋向更廣泛的公共領域延展，盤活大量優質潛客，助力經銷商交易效率的提升。
2391,　　去年10月，汽車之家董事長兼CEO陸敏提出汽車之家4+1戰略，建設車媒體、車電商、車金融、車生活四個圈，核心是轉型升級為基於數據技術的汽車公司，構建汽車生態圈。汽車之家業務佈局、商業模式創新，在新戰略引導下，在數據技術領域的發力越發明顯。
2392,　　陸敏表示，汽車之家進入加速平臺化發展的重要階段，利用數據技術、優勢資源以及智能化等核心優勢，我們幫助廠商、經銷商和消費者之間更好地連接、溝通，提升行業效率。
2393,
2394,　　熱效率是指發動機輸出的機械功與燃燒燃油產生的化學能量的比率。如果說一輛汽車發動機的熱效率為38%，也就是隻能用到38%的能量，其他62%都通過熱力流失和機械摩擦等方式損耗掉。
2395,　　廣州日報訊 (全媒體記者周偉力攝影報道) 發動機是汽車廠商技術競爭的主戰場，汽車廠商為研發更加先進的發動機不惜投入數以億計的資金。當不少消費者以購買搭載了外國汽車廠商最新款渦輪增壓發動機的車型為榮時，包括海馬汽車、奇瑞汽車以及廣汽傳祺在內的中國車企紛紛表示正在研發熱效率接近40%的發動機。
2396,　　中國車企研發熱效率40%的發動機
2397,　　放眼全球，在發動機熱效率方面領跑的是豐田。今年年初，豐田發佈2ZR-FXE發動機，熱效率高達41%，創造新的世界紀錄。目前，大部分汽車的發動機熱效率在28%~33%之間。
2398,　　中國車企加大在傳統發動機上的投入並不奇怪，因為新能源車補貼逐年下滑，即便到2020年，傳統發動機仍會是市場的主流。挖掘傳統發動機在節能減排上的潛力，收效要比新能源車來得顯著，更有助於中國車企符合新的排放法規和燃油限值。
2399,　　海馬汽車方面對記者表示，藉助於熱效率40%發動機的研發，在2020年前，可實現企業平均油耗百公里5升，2025年前，可實現企業平均油耗降低至百公里4升。此外，奇瑞汽車也曾發佈一款代號為E4T15B的發動機，奇瑞官方宣稱其熱效率高達37.1%。在這場發動機競賽中，廣汽傳祺也不甘落後。5月初，在第四屆亞太動力總成峰會上，廣汽研究院常務副院長吳堅介紹說，廣汽正在自主研發第三代發動機技術。相比於前兩代，第三代發動機以高效率、高扭矩為目標，熱效率高達38%，並能滿足國六B的標準。
2400,　　油耗降低，輸出也會提升
2401,　　熱效率越高意味著更加省油。當然，汽車廠家不惜成本研製更高熱效率的發動機，目的除省油之外，還為能在過度競爭的市場上取得一點點領先的位置。
2402,　　使用熱效率更高的發動機能帶來明顯的油耗降低。美國一家市場研究公司的相關調查發現，和使用33%熱效率的汽車來說，改用40%的熱效率後，燃油經濟性可以降低15%~20%。以一年行駛15000公里的汽車計算，使用熱效率40%的發動機，一年平均能省200升汽油，大約能節省1260元的油費。嚴格上講，與純電動車相比這真不算多，但是對迫於提高燃油經濟性的汽車廠家而言，這已足夠他們去大肆宣傳自己在環保和節能方面的“成就”。
2403,　　此外，熱效率越高，同時還可以獲得更好的性能表現。和一輛熱效率33%的汽車相比，熱效率40%的能量轉化效率更高，用最低擋也可以輕鬆地爬坡，用最高擋，可以獲得更高的行駛速度。
2404,　　由於是與霍尼韋爾、法雷奧、博世、德國FEV以及奧地利AVL等知名零部件商技術合作，中國車企在研發熱效率更高的發動機上的投入並不是大到難以承受。據預測，到2020年，全球裝備37%~40%熱效率的汽車總量將超過2000萬輛，四倍於新能源車。
2405,　　買車眾生相：
2406,　　想上外地牌的廣州準車主們，注意啦！以後想上外地牌，請至少提前半年做準備。從今年5月1日起，廣東省僅憑居住證回執再也無法辦理機動車上牌，必須要有正式的居住證才行。也即是說，你是廣州戶口，想上一個汕頭車牌，如果沒有居住證原件，那麼就請先等6個月拿到原件再買車吧！
2407,　　文/廣州日報全媒體記者鄧莉 圖/王燕
2408,　　上外地牌“過渡”？
2409,　　沒戲
2410,　　這個“五一”，在廣州工作的湖南人秦先生有點愁，他原計劃要在“五一”車展上出手買輛新車，但不得已作罷。原來，秦先生暫未符合廣州指標搖號競拍要求，又想在廣州買輛車上下班用，原本他已向廣州一家車商諮詢，車商表示可以由他們代辦外地暫住證和辦理外地牌照。然而隨著4月25日廣東省公安廳的一紙通知，他上外地牌的想法行不通了。現在，有用車迫切需求的秦先生，開始考慮從湖南老家買輛車上牌，再開到廣州來用。
2411,　　同樣發愁的還有廣州居民陳小姐，一直沒搖到號的陳小姐原本打算先上外地牌“過渡”，等搖到號再遷入“粵A”。“五一”之後，她再諮詢車商，發現上外地牌的時間很長，至少要等半年，外地居住證辦好才行。當前，陳小姐只能選擇：多花2多萬元左右競拍一個“粵A”牌，或者暫時放棄買車，直到搖到號。
2412,　　廣東省公安廳交通管理局在“五一”假期前一週，下發《關於停止流動人口憑居住證登記回執辦理機動車登記業務有關問題的通知》，通知稱從2017年5月1日起，廣東各地停止憑流動人口居住證登記回執辦理機動車登記業務。簡而言之，如果戶口不在中山、惠州、潮汕等地，又沒有辦理當地居住證的外來人口，從5月1日後，買車無法憑居住證回執馬上上牌，至少要等6個月之後，當地居住證辦妥方可。
2413,　　一些早嗅到風聲，已經在2017年5月1日前憑《回執》申辦，但未辦結的機動車登記業務的消費者，按照《通知》，只要此前審核通過的，仍可正常領取、辦理上牌手續。本地經銷商告訴記者，此前居住證辦理的“假回執”太多，或是相關部門停止用居住證回執作為上牌憑證的主要原因之一。
2414,　　各地狀況：上牌週期更長
2415,　　記者“五一”後從東莞、中山和佛山等車管所獲悉，當前各地車管所已經恢復對居住證原件審核受理，不再審核受理居住證回執。記者電話諮詢東莞車管所相關工作人員獲悉，非莞籍人士在東莞購車上牌前提交居住證回執後，要接受居住地址核查。核查過程需公安部門配合，起碼要一週時間。惠州、中山、清遠、江門等地區來說，情況同樣如此。當地車管所表示，申請居住證回執的市民，要等六個月正式領到居住證後才能買車。同時，車管所工作人員表示，以後，機動車註冊、變更、轉移、抵押、註銷登記業務，都不能憑居住證回執辦理。
2416,　　以上情況意味著，對於希望上外地牌回廣州使用的車主來說，購車上牌的時間比之前更長了。而且不僅僅是不能辦理新車登記，舊車過戶必須要有正式居住、暫住證明才能辦理。中山市汽車流通協會會長吳灝表示，以中山為例，在乘用車方面，外來人口購車的比例達到60%，算上貨車等物流車輛，這個比例更高。
2417,　　本地車市：車商40%銷量受到影響
2418,　　老廣們，如果你準備買車上外地牌，就必須提前辦理居住證；如果等看好車才想起來要辦證，那麼等新車到手已經是半年後了。對於廣州本地經銷商來說，這次調整通知讓他們覺得措手不及。“以往我們店裡，四成客人是需要上外地牌的，因為居住證問題延長了上外地牌時間，無疑就是堵死了上外地牌之路。”長安馬自達廣州本地的一位經銷商負責人告訴記者，這個“五一”假期本來想打一場漂亮的促銷戰，但受這一政策變化影響，廣州車市的銷量沒有預期好。
2419,　　東風本田恆通達店總經理楊偉新也表示，暫停暫住證回執辦理上牌，對於廣州經銷商來說影響非常大。據不完全統計，當前廣州每個月新增一萬個新車指標，但實際廣州經銷商每月賣出的新車銷量總和超過1.6萬輛，其中包含兩至三成的“以舊換新”置換方式賣出的新車及超過四成上外地牌的新車。
2420,　　二手車車商對新變化同樣非常敏感，本地一位二手車商表示，對市場短期內肯定有較為消極的影響，二手車交易量在未來一兩個月內回落是必然。
2421,　　相關鏈接
2422,　　“粵A”牌個人均價連漲破兩萬元
2423,"　　,中新網,5月8日電 8日，鄭州日產第100萬輛整車高端SUV級皮卡納瓦拉在鄭州日產中牟工廠新總裝車間下線。走過24年合資歷程，鄭州日產迎來“質造”之路的一個里程碑，高端SUV級皮卡納瓦拉，拉開了企業專業皮卡和越野型SUV發展新的序幕。東風汽車有限公司總裁關潤，副總裁馬智欣，鄭州日產汽車有限公司總經理鄭加坤，黨委書記鄭紅藝等嘉賓出席了活動。"
2424,"　　,百萬質造，打造市場標杆"
